ID;deliveryDate;customerName;customerCity;paymentMethod;totalCost;phoneNumber;customerAddress
a5c19e98-7f1a-423b-a689-636f3adf6994;2021-12-11;Masha;Minsk;Cash;27.34;+375298281231;"Kozlova str., 25, ap. 2"
1fb7eee0-fbd7-4759-8609-e8e829f526b2;2021-12-02;Vladislav;Minsk;Online;12.34;+375294232235;"Lenina str., 7, ap. 12"
41cd1b15-6d4e-4321-b3b4-2bae86acccd5;2021-12-10;Egor;Brest;CreditCard;11.11;+375333913473;"Miroshnichenko str., 2, ap. 14"
5abaee8a-0b23-4515-9ecd-a780e6cd9fbb;2021-12-30;Katya;Soligorsk;Cash;15;+375449913473;"Kolasa str., 8, ap. 54"
7fc4794d-b5b8-48eb-bdec-243f0ea54484;2021-12-30;Inna Smirnova;Minsk;CreditCard;12.34;+375259913473;"Kolasa str., 3, ap. 23"
a5c19e98-7f1a-423b-a689-636f3adf4444;2021-12-30;Katya;Soligorsk;Online;12.34;+375298885431;"Kozlova str., 1, ap. 24"
a5c19e98-7f1a-423b-a689-636f3adf4441;2021-12-30;Zoya;Minsk;Cash;12.34;+375298211231;"Kozlova str., 25, ap. 2"
a5c19e98-7f1a-423b-a689-636f3adf4442;2021-12-30;Zoya;Minsk;CreditCard;12.34;+375298351241;"Kozlova str., 235, ap. 12"
a5c19e98-7f1a-423b-a689-636f3adf4443;2021-12-06;Zoya;Minsk;Cash;12.34;+375298881231;"Kozlova str., 25, ap. 2"
a5c19e98-7f1a-423b-a689-636f3adf4445;2021-12-05;Zoya;Minsk;Online;12.34;+375298881231;"Kozlova str., 25, ap. 2"
a5c19e98-7f1a-423b-a689-636f3adf4415;2021-12-20;Zoya;Soligorsk;CreditCard;12.34;+375298881231;"Kozlova str., 25, ap. 32"
a5c19e98-7f1a-423b-a689-636f3adf4425;2021-12-10;Zoya;Minsk;Cash;12.34;+375293871231;"Kozlova str., 23, ap. 12"
a5c19e98-7f1a-423b-a689-636f3adf4435;2021-12-08;Jenya;Bitebsk;Online;12.34;+375298881254;"Kozlova str., 24, ap. 25"
a5c19e98-7f1a-423b-a689-636f3adf4455;2021-12-10;Sasha;Grodno;Cash;12.34;+375298881231;"Lenina str., 25, ap. 2"
a5c19e98-7f1a-423b-a689-636f3adf4465;2021-12-20;Olga;Minsk;CreditCard;12.34;+375298881231;"Kozlova str., 25, ap. 2"
b5c19e98-7f1a-423b-a689-636f3adf4465;2021-12-19;Zoya;Vitebsk;Online;12.34;+375298381231;"Timiryazeva str., 25, ap. 2"
c5c19e98-7f1a-423b-a689-636f3adf4465;2021-12-13;Zoya;Brest;Cash;12.34;+375298234331;"Gamarnika str., 25, ap. 2"
d5c19e98-7f1a-423b-a689-636f3adf4465;2021-12-24;Rita;Minsk;CreditCard;12.34;+375291821231;"Lenina str., 25, ap. 2"
